  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                             Function                                                                                 FunctionSignature                                                                       
0x7fca05ec3250           4001            927   4.32    local    default ../sysdeps/x86_64/multiarch/strcat-sse2-unaligned.S                __strncat_sse2_unaligned                                                                 __strncat_sse2_unaligned                                                                
0x7fca05f9a2b0           5727           1217   4.71    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strcasecmp_avx                                                                         __strcasecmp_avx                                                                        
0x7fca05f9a2c4           5707           1213   4.70    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strcasecmp_l_avx                                                                       __strcasecmp_l_avx                                                                      
0x7fca05f94bc4           7035           1413   4.98    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strcasecmp_l_sse42                                                                     __strcasecmp_l_sse42                                                                    
0x7fca05f94bb0           7055           1417   4.98    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strcasecmp_sse42                                                                       __strcasecmp_sse42                                                                      
0x7fca05f9b930         115496           1429  80.82    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strncasecmp_avx                                                                        __strncasecmp_avx                                                                       
0x7fca05f9b944         115476           1425  81.04    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strncasecmp_l_avx                                                                      __strncasecmp_l_avx                                                                     
0x7fca05f96774           8114           1701   4.77    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strncasecmp_l_sse42                                                                    __strncasecmp_l_sse42                                                                   
0x7fca05f96760           8134           1705   4.77    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strncasecmp_sse42                                                                      __strncasecmp_sse42                                                                     
0x7fca05f93bd0          11119            906  12.27    local    default ../sysdeps/x86_64/multiarch/strcmp-sse42.S                         __strncmp_sse42                                                                          __strncmp_sse42                                                                         
0x7fca05ebf910           2951            355   8.31    local    default ../sysdeps/x86_64/multiarch/strcpy-sse2-unaligned.S                __strcpy_sse2_unaligned                                                                  __strcpy_sse2_unaligned                                                                 
0x7fca05eb5a00           8716           1763   4.94    local    default ../sysdeps/x86_64/strcmp.S                                         __GI___strcasecmp_l_sse2                                                                 __GI___strcasecmp_l_sse2                                                                
0x7fca05f78390           4687           1736   2.70    local    default ../sysdeps/x86_64/strcmp.S                                         __GI___strcmp_ssse3                                                                      __GI___strcmp_ssse3                                                                     
0x7fca05f85960           8476           2885   2.94    local    default ../sysdeps/x86_64/strcmp.S                                         __strcasecmp_l_ssse3                                                                     __strcasecmp_l_ssse3                                                                    
0x7fca05eb59e0           8748           1769   4.95    local    default ../sysdeps/x86_64/strcmp.S                                         __strcasecmp_sse2                                                                        __strcasecmp_sse2                                                                       
0x7fca05f85940           8508           2891   2.94    local    default ../sysdeps/x86_64/strcmp.S                                         __strcasecmp_ssse3                                                                       __strcasecmp_ssse3                                                                      
0x7fca05eb19a0         818239           1648 496.50    local    default ../sysdeps/x86_64/strcmp.S                                         __strcmp_sse2                                                                            __strcmp_sse2                                                                           
0x7fca05eb7c50         861076           3096 278.13    local    default ../sysdeps/x86_64/strcmp.S                                         __strncasecmp_l_sse2                                                                     __strncasecmp_l_sse2                                                                    
0x7fca05f87ac0           9542           2073   4.60    local    default ../sysdeps/x86_64/strcmp.S                                         __strncasecmp_l_ssse3                                                                    __strncasecmp_l_ssse3                                                                   
0x7fca05eb7c30         861108           3102 277.60    local    default ../sysdeps/x86_64/strcmp.S                                         __strncasecmp_sse2                                                                       __strncasecmp_sse2                                                                      
0x7fca05f87aa0           9574           2079   4.61    local    default ../sysdeps/x86_64/strcmp.S                                         __strncasecmp_ssse3                                                                      __strncasecmp_ssse3                                                                     
0x7fca05eb30a0         818359           1961 417.32    local    default ../sysdeps/x86_64/strcmp.S                                         __strncmp_sse2                                                                           __strncmp_sse2                                                                          
0x7fca05f79600           5993           1213   4.94    local    default ../sysdeps/x86_64/strcmp.S                                         __strncmp_ssse3                                                                          __strncmp_ssse3                                                                         
0x7fca0817e1b0            664            126   5.27    local    default ./build-tree/amd64-libc/math/s_cacosf128.c                         __cacosf128                                                                              __cacosf128                                                                             
0x7fca0817e2fb            333             11  30.27   global    default ./build-tree/amd64-libc/math/s_cacosf128.c                         targ652fb                                                                                targ652fb                                                                               
0x7fca0817f930           1012            188   5.38    local    default ./build-tree/amd64-libc/math/s_casinhf128.c                        casinhf128                                                                               casinhf128                                                                              
0x7fca0817fa20            716             12  59.67   global    default ./build-tree/amd64-libc/math/s_casinhf128.c                        targ66a20                                                                                targ66a20                                                                               
0x7fca05e28720            407             81   5.02   global    default abort.c                                                            __GI_abort                                                                               __GI_abort                                                                              
0x7fca05e39cf0            343             87   3.94    local    default assert.c                                                           __assert_fail_base                                                                       __assert_fail_base                                                                      
0x7fca05e2870c             15              3   5.00    local    default assert.c                                                           __assert_fail_base.cold                                                                  __assert_fail_base.cold                                                                 
0x7fca05eeb460            500            140   3.57   global    default execl.c                                                            __GI_execl                                                                               __GI_execl                                                                              
0x7fca05e2995e         793846             23 34515.04    local    default execl.c                                                            __GI_execl.cold                                                                          __GI_execl.cold                                                                         
0x7fca05eeb250            520            148   3.51   global    default execle.c                                                           __GI_execle                                                                              __GI_execle                                                                             
0x7fca05e298fe         793428             24 33059.50    local    default execle.c                                                           __GI_execle.cold                                                                         __GI_execle.cold                                                                        
0x7fca05e299b7         794301             23 34534.83    local    default execlp.c                                                           __GI_execlp.cold                                                                         __GI_execlp.cold                                                                        
0x7fca05eeb680            500            140   3.57   global    default execlp.c                                                           execlp                                                                                   execlp                                                                                  
0x7fca06813790           3071            680   4.52   global    default libamdhip64.so.5.4.50401                                           hipExtLaunchKernel                                                                       hipExtLaunchKernel                                                                      
0x7fca06815850           3272            720   4.54  unknown    unknown libamdhip64.so.5.4.50401                                           hipExtModuleLaunchKernel                                                                 hipExtModuleLaunchKernel                                                                
0x7fca0675faa0         859408            165 5208.53   global    default libamdhip64.so.5.4.50401                                           hipKernelNameRefByPtr                                                                    hipKernelNameRefByPtr                                                                   
