  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114049a8d30           2641            651   4.06  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_M_append                                                         std::filesystem::path::_M_append                                                        
0x7114048b699e            177             38   4.66  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_M_append.cold                                                    std::filesystem::path::_M_append.cold                                                   
0x7114049a7f10           3142            768   4.09  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_M_concat                                                         std::filesystem::path::_M_concat                                                        
0x7114048b6880             24              6   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_M_concat.cold                                                    std::filesystem::path::_M_concat.cold                                                   
0x7114049acd10            422            126   3.35  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_S_convert_loc                                                    std::filesystem::path::_S_convert_loc                                                   
0x7114048b6f58            156             37   4.22  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::_S_convert_loc.cold                                               std::filesystem::path::_S_convert_loc.cold                                              
0x7114049aa460           1707            405   4.21  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::lexically_relative                                                std::filesystem::path::lexically_relative                                               
0x7114048b6b90             64             12   5.33  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::lexically_relative.cold                                           std::filesystem::path::lexically_relative.cold                                          
0x7114049abc30           2127            601   3.54  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator+=                                                        std::filesystem::path::operator+=                                                       
0x7114048b6cb8            421             94   4.48  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator+=.cold                                                   std::filesystem::path::operator+=.cold                                                  
0x7114049aa060            973            283   3.44  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator/=                                                        std::filesystem::path::operator/=                                                       
0x7114048b6af0            147             35   4.20  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator/=.cold                                                   std::filesystem::path::operator/=.cold                                                  
0x7114049a8b60            449            117   3.84  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator=<char [2]>.isra.0                                        std::filesystem::path::operator=<char [2]>.isra.0                                       
0x7114048b6986             24              6   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::operator=<char [2]>.isra.0.cold                                   std::filesystem::path::operator=<char [2]>.isra.0.cold                                  
0x7114049aaf70            637            171   3.73  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::parent_path                                                       std::filesystem::path::parent_path                                                      
0x7114048b6c2e             48             12   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::parent_path.cold                                                  std::filesystem::path::parent_path.cold                                                 
0x7114049aac50            795            205   3.88  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::relative_path                                                     std::filesystem::path::relative_path                                                    
0x7114048b6bfe             48             12   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++17/cow-fs_path.cc                     std::filesystem::path::relative_path.cold                                                std::filesystem::path::relative_path.cold                                               
0x711404973790            730            162   4.51  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::(anonymous namespace)::from_chars_strtod<_Float128>                                 std::(anonymous namespace)::from_chars_strtod<_Float128>                                
0x7114048b208a         793483             73 10869.63  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::(anonymous namespace)::from_chars_strtod<_Float128>.cold                            std::(anonymous namespace)::from_chars_strtod<_Float128>.cold                           
0x711404973a80            659            158   4.17  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::(anonymous namespace)::from_chars_strtod<long double>                               std::(anonymous namespace)::from_chars_strtod<long double>                              
0x7114048b20a4         793457             37 21444.78  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::(anonymous namespace)::from_chars_strtod<long double>.cold                          std::(anonymous namespace)::from_chars_strtod<long double>.cold                         
0x711404973250            295             78   3.78  unknown    unknown ../../../../../libstdc++-v3/src/c++17/floating_from_chars.cc             std::__cxx11::basic_string<char, std::char_traits<char>, std::pmr::polymorphi...         std::__cxx11::basic_string<char, std::char_traits<char>, std::pmr::polymorphi...        
