  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                                   Function                                                                                 FunctionSignature                                                                       
0x1499d7892d29             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path[abi:cxx11].cold                                     std::filesystem::temp_directory_path[abi:cxx11].cold                                    
0x1499d7966180           1838            362   5.08  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d7966a50           2655            503   5.28  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d7893559             62             13   4.77  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d789360b             64             13   4.92  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d796e3f0            481            119   4.04  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error                             std::filesystem::__cxx11::filesystem_error::filesystem_error                            
0x1499d796ea70            426            124   3.44  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error                             std::filesystem::__cxx11::filesystem_error::filesystem_error                            
0x1499d796ec20            596            165   3.61  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error                             std::filesystem::__cxx11::filesystem_error::filesystem_error                            
0x1499d7893d86             92             20   4.60  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                        std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                       
0x1499d7893f22             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                        std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                       
0x1499d7893f6c             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                        std::filesystem::__cxx11::filesystem_error::filesystem_error.cold                       
0x1499d796b8e0           1048            279   3.76  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::path::_List::operator=                                         std::filesystem::__cxx11::path::_List::operator=                                        
0x1499d789395c             54             13   4.15  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::path::_List::operator=.cold                                    std::filesystem::__cxx11::path::_List::operator=.cold                                   
0x1499d796ab60           2810            688   4.08  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::path::_M_append                                                std::filesystem::__cxx11::path::_M_append                                               
0x1499d7893860            213             23   9.26  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::path::_M_append.cold                                           std::filesystem::__cxx11::path::_M_append.cold                                          
0x1499d7969cd0           3305            823   4.02  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::__cxx11::path::_M_concat                                                std::filesystem::__cxx11::path::_M_concat                                               
