"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
1187,"__amd_rocclr_copyBufferRectAligned.kd",1,1,240,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591233568,2919591241730,2919591254274,2919591254677,12544
1188,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1423,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591260919,2919591269031,2919591283980,2919591283933,14949
1189,"__amd_rocclr_copyBufferRectAligned.kd",1,2,1425,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591273353,2919591291073,2919591302735,2919591302718,11662
1190,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1426,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591296126,2919591304979,2919591323855,2919591325271,18876
1191,"__amd_rocclr_copyBufferRectAligned.kd",1,3,472,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591308238,2919591317042,2919591325298,2919591329038,8256
1192,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1429,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591341151,2919591349143,2919591361927,2919591362912,12784
1193,"__amd_rocclr_copyBufferRectAligned.kd",1,3,473,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591355437,2919591362287,2919591376234,2919591376607,13947
1194,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1431,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591386496,2919591394448,2919591413123,2919591414699,18675
1195,"__amd_rocclr_copyBufferRectAligned.kd",1,0,236,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591400723,2919591407513,2919591421419,2919591424227,13906
1196,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1433,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591427874,2919591434964,2919591448470,2919591449565,13506
1197,"__amd_rocclr_copyBufferRectAligned.kd",1,1,242,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919591441440,2919591448871,2919591461374,2919591463782,12503
1198,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1435,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919591468551,2919591476292,2919591492122,2919591492205,15830
