"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
225,"__amd_rocclr_copyBufferRectAligned.kd",1,0,88,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111267898,11323111277416,11323111286353,11323111287886,8937
226,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,95,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111280462,11323111286593,11323111303104,11323111303295,16511
227,"__amd_rocclr_copyBufferRectAligned.kd",1,1,88,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111311100,11323111316960,11323111326498,11323111326699,9538
228,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,176,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111325347,11323111330145,11323111345054,11323111345465,14909
229,"__amd_rocclr_copyBufferRectAligned.kd",1,2,97,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111354322,11323111360182,11323111369520,11323111369861,9338
230,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,178,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111368058,11323111372526,11323111385670,11323111385891,13144
231,"__amd_rocclr_copyBufferRectAligned.kd",1,3,180,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111396030,11323111402162,11323111410938,11323111411730,8776
232,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,90,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111410448,11323111414825,11323111427650,11323111427891,12825
233,"__amd_rocclr_copyBufferRectAligned.kd",1,3,182,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111439072,11323111445113,11323111453849,11323111454461,8736
234,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,90,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111452637,11323111457456,11323111471202,11323111471313,13746
235,"__amd_rocclr_copyBufferRectAligned.kd",1,0,92,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111481732,11323111487713,11323111496610,11323111497643,8897
236,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,99,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111496140,11323111500538,11323111515165,11323111515346,14627
237,"__amd_rocclr_copyBufferRectAligned.kd",1,1,92,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111524263,11323111530424,11323111539882,11323111540373,9458
238,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,184,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111539341,11323111543769,11323111558758,11323111559149,14989
239,"__amd_rocclr_copyBufferRectAligned.kd",1,2,101,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111567705,11323111573756,11323111582613,11323111583294,8857
240,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,186,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111581401,11323111586139,11323111599485,11323111599655,13346
241,"__amd_rocclr_copyBufferRectAligned.kd",1,3,188,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111610225,11323111616366,11323111625143,11323111625875,8777
242,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,94,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111624432,11323111629111,11323111642696,11323111642907,13585
243,"__amd_rocclr_copyBufferRectAligned.kd",1,3,190,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111653307,11323111659288,11323111667944,11323111668275,8656
244,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,94,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111665780,11323111670749,11323111683774,11323111684215,13025
245,"__amd_rocclr_copyBufferRectAligned.kd",1,0,96,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111694405,11323111700295,11323111708952,11323111709333,8657
246,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,103,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111706798,11323111711276,11323111725543,11323111725744,14267
247,"__amd_rocclr_copyBufferRectAligned.kd",1,1,96,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111736614,11323111742705,11323111751642,11323111752013,8937
248,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,192,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111749759,11323111754808,11323111769636,11323111769997,14828
249,"__amd_rocclr_copyBufferRectAligned.kd",1,2,105,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111777802,11323111784013,11323111792950,11323111793442,8937
250,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,194,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111791578,11323111796277,11323111809061,11323111809272,12784
251,"__amd_rocclr_copyBufferRectAligned.kd",1,3,196,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111819772,11323111825642,11323111834379,11323111834650,8737
252,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,98,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111832285,11323111837344,11323111850489,11323111850670,13145
253,"__amd_rocclr_copyBufferRectAligned.kd",1,3,198,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111860859,11323111866800,11323111877059,11323111877240,10259
254,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,98,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111875687,11323111880546,11323111893571,11323111893791,13025
255,"__amd_rocclr_copyBufferRectAligned.kd",1,0,100,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111905403,11323111909962,11323111918858,11323111919400,8896
256,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,107,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111918628,11323111923106,11323111937574,11323111938025,14468
257,"__amd_rocclr_copyBufferRectAligned.kd",1,1,100,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323111950799,11323111956870,11323111974103,11323111976558,17233
258,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,200,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323111961069,11323111966168,11323111988891,11323111989122,22723
259,"__amd_rocclr_copyBufferRectAligned.kd",1,2,109,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112000203,11323112006264,11323112019489,11323112022044,13225
260,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,202,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112009350,11323112016964,11323112036441,11323112036631,19477
261,"__amd_rocclr_copyBufferRectAligned.kd",1,3,204,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112044005,11323112050006,11323112059745,11323112059936,9739
262,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,102,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112057521,11323112062430,11323112075414,11323112075605,12984
263,"__amd_rocclr_copyBufferRectAligned.kd",1,3,206,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112085404,11323112091435,11323112100171,11323112100763,8736
264,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,102,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112099520,11323112104219,11323112118045,11323112118266,13826
265,"__amd_rocclr_copyBufferRectAligned.kd",1,0,104,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112129016,11323112164623,11323112184340,11323112186765,19717
266,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,111,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112140798,11323112164302,11323112194479,11323112194931,30177
267,"__amd_rocclr_copyBufferRectAligned.kd",1,1,104,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112203737,11323112209528,11323112225238,11323112228584,15710
268,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,208,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112213075,11323112217944,11323112239504,11323112239655,21560
269,"__amd_rocclr_copyBufferRectAligned.kd",1,2,113,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112250766,11323112256797,11323112274030,11323112276084,17233
270,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,210,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112258751,11323112264732,11323112288016,11323112288207,23284
271,"__amd_rocclr_copyBufferRectAligned.kd",1,3,212,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112294248,11323112327852,11323112344283,11323112347169,16431
272,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,106,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112302624,11323112328212,11323112358790,11323112359161,30578
273,"__amd_rocclr_copyBufferRectAligned.kd",1,3,214,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112370392,11323112376443,11323112392394,11323112396291,15951
274,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,106,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112379399,11323112388105,11323112407903,11323112408344,19798
275,"__amd_rocclr_copyBufferRectAligned.kd",1,0,108,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323112421259,11323112427169,11323112442999,11323112446486,15830
276,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,115,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323112431157,11323112439032,11323112458388,11323112458619,19356
